Service Request Number,Unnamed: 1,Service Request: Type Name,Work Order Number,Date/Time Opened,Date/Time Closed,Service Request Status,Service Request: Description,Department,Work Order Status,Street Block,Zip Code,Unnamed: 12
SR20-05069003,,No Heat Complaint,20-03212607,9/15/2020 2:41 PM,9/25/2020 2:50 PM,Completed,"There was no HEAT last winter. I did not know when I sign month to month lease. However he said he would  provide heating before the next year, that this winter year. As of today, there is no heat 2nd floor, inadqueate heat 1st floor",DOB - Buildings,Closed,5900 S LAFLIN ST,60636.0,
SR20-05069127,,No Heat Complaint,20-03212710,9/15/2020 2:46 PM,9/17/2020 9:29 AM,Completed,CALLER STATES THE GAS IS TURNED OFF AND CAPPED DUE TO HIGH BILL AT 1301 W 111TH ST,DOB - Buildings,Closed,11100 S THROOP ST,60643.0,
SR20-05071076,,No Heat Complaint,20-03213981,9/15/2020 6:24 PM,9/17/2020 7:53 AM,Completed,"Both adults are permanently disabled. Yesterday morning, son’s bedroom was 58 degrees, daughter room was 68 degrees and master was 73 degrees using laser thermometer-with no heat on at all at 7am. Weather outside was 52 degrees. This will only get worse.",DOB - Buildings,Closed,600 E 40TH ST,60653.0,
SR20-05090767,,No Heat Complaint,20-03225033,9/18/2020 2:39 AM,10/6/2020 12:40 PM,Completed,,DOB - Buildings,Closed,700 E 43RD ST,60653.0,
SR20-05090867,,No Heat Complaint,20-03225083,9/18/2020 6:04 AM,9/29/2020 1:59 PM,Completed,,DOB - Buildings,Closed,6100 S DREXEL AVE,60637.0,
SR20-05091015,,No Heat Complaint,20-03225192,9/18/2020 6:50 AM,9/30/2020 1:40 PM,Completed,,DOB - Buildings,Closed,9100 S SOUTH CHICAGO AVE,60617.0,
SR20-05092469,,No Heat Complaint,20-03240322,9/18/2020 9:56 AM,9/22/2020 1:09 PM,Completed,NO DOORBELLS------CALL BEFORE COMING OUT,DOB - Buildings,Closed,6600 S MARSHFIELD AVE,60636.0,
SR20-05092469,,No Heat Complaint,20-03225976,9/18/2020 9:56 AM,9/22/2020 1:09 PM,Completed,NO DOORBELLS------CALL BEFORE COMING OUT,DOB - Buildings,Closed,6600 S MARSHFIELD AVE,60636.0,
SR20-05093342,,No Heat Complaint,20-03226534,9/18/2020 11:12 AM,9/28/2020 10:13 PM,Completed,,DOB - Buildings,Closed,300 E ONTARIO ST,60611.0,
SR20-05093448,,No Heat Complaint,20-03226603,9/18/2020 11:23 AM,9/22/2020 2:23 PM,Completed,,DOB - Buildings,Closed,3000 N PARKSIDE AVE,60634.0,
SR20-05097405,,No Heat Complaint,20-03229089,9/18/2020 5:30 PM,9/22/2020 1:09 PM,Completed,,DOB - Buildings,Closed,6400 S DR MARTIN LUTHER KING JR DR,60637.0,
SR20-05097606,,No Heat Complaint,20-03229207,9/18/2020 6:13 PM,9/22/2020 1:09 PM,Completed,,DOB - Buildings,Closed,4100 S LANGLEY AVE,60653.0,
SR20-05097849,,No Heat Complaint,20-03229327,9/18/2020 7:13 PM,9/22/2020 1:09 PM,Completed,,DOB - Buildings,Closed,6900 S CLYDE AVE,60649.0,
SR20-05098916,,No Heat Complaint,20-03229692,9/19/2020 7:08 AM,9/22/2020 1:09 PM,Completed,,DOB - Buildings,Closed,5800 S DORCHESTER AVE,60637.0,
SR20-05099150,,No Heat Complaint,20-03229770,9/19/2020 8:15 AM,9/24/2020 10:42 AM,Completed,,DOB - Buildings,Closed,7100 N WASHTENAW AVE,60645.0,
SR20-05099304,,No Heat Complaint,20-03229832,9/19/2020 8:58 AM,9/28/2020 10:13 PM,Completed,I am a senior and I am concerned about retaliation.,DOB - Buildings,Closed,0 E CHESTNUT ST,60611.0,
SR20-05099592,,No Heat Complaint,20-03229925,9/19/2020 9:53 AM,9/24/2020 11:03 AM,Completed,STELLA MANAGEMENT NOT FIXING IT AND NO ONE HAS ANY INFORMATION ABOUT IT,DOB - Buildings,Closed,6100 N DAMEN AVE,60659.0,
SR20-05099592,,No Heat Complaint,20-03248513,9/19/2020 9:53 AM,9/24/2020 11:03 AM,Completed,STELLA MANAGEMENT NOT FIXING IT AND NO ONE HAS ANY INFORMATION ABOUT IT,DOB - Buildings,Closed,6100 N DAMEN AVE,60659.0,
SR20-05100269,,No Heat Complaint,20-03230152,9/19/2020 11:46 AM,10/1/2020 1:12 PM,Completed,Mold/Mildew,DOB - Buildings,Closed,2900 W WILCOX ST,60612.0,
SR20-05102462,,No Heat Complaint,20-03230820,9/19/2020 7:29 PM,9/28/2020 10:13 PM,Completed,,DOB - Buildings,Closed,0 W BURTON PL,60610.0,
SR20-05102756,,No Heat Complaint,20-03230900,9/19/2020 8:40 PM,9/24/2020 9:58 AM,Completed,,DOB - Buildings,Closed,2900 W BELLE PLAINE AVE,60618.0,
SR20-05102952,,No Heat Complaint,20-03230963,9/19/2020 9:39 PM,9/21/2020 8:55 AM,Completed,,DOB - Buildings,Closed,1200 W MORSE AVE,60626.0,
SR20-05103709,,No Heat Complaint,20-03231174,9/20/2020 7:30 AM,9/22/2020 1:01 PM,Completed,,DOB - Buildings,Closed,3600 W BELMONT AVE,60618.0,
SR20-05106154,,No Heat Complaint,20-03231899,9/20/2020 5:04 PM,9/25/2020 3:05 PM,Completed,,DOB - Buildings,Closed,6400 N NORTHWEST HWY,60631.0,
SR20-05106939,,No Heat Complaint,,9/20/2020 9:01 PM,9/30/2020 1:40 PM,Completed,,DOB - Buildings,,,60617.0,
SR20-05108167,,No Heat Complaint,20-03232749,9/21/2020 8:03 AM,9/24/2020 10:16 AM,Completed,,DOB - Buildings,Closed,6400 N SHERIDAN RD,60626.0,
SR20-05108568,,No Heat Complaint,20-03233024,9/21/2020 8:43 AM,9/29/2020 11:33 AM,Completed,,DOB - Buildings,Closed,2900 N PULASKI RD,60641.0,
SR20-05109526,,No Heat Complaint,20-03233708,9/21/2020 9:49 AM,9/30/2020 12:15 PM,Completed,no working door bells,DOB - Buildings,Closed,4700 N BERNARD ST,60625.0,
SR20-05109579,,No Heat Complaint,20-03233752,9/21/2020 9:52 AM,10/1/2020 9:26 AM,Completed,,DOB - Buildings,Closed,2900 W FILLMORE ST,60612.0,
SR20-05110681,,No Heat Complaint,20-03234491,9/21/2020 11:16 AM,9/30/2020 12:08 PM,Completed,,DOB - Buildings,Closed,2300 W TOUHY AVE,60645.0,
SR20-05111509,,No Heat Complaint,20-03235050,9/21/2020 12:38 PM,10/5/2020 11:31 AM,Completed,,DOB - Buildings,Closed,7800 S CORNELL AVE,60649.0,
SR20-05112864,,No Heat Complaint,20-03235945,9/21/2020 2:24 PM,9/22/2020 8:43 AM,Completed,,DOB - Buildings,Closed,4500 N CLARENDON AVE,60640.0,
SR20-05115864,,No Heat Complaint,20-03237529,9/21/2020 10:02 PM,9/28/2020 10:13 PM,Completed,,DOB - Buildings,Closed,1400 N SEDGWICK ST,60610.0,
SR20-05116278,,No Heat Complaint,,9/22/2020 4:46 AM,9/22/2020 1:09 PM,Completed,,DOB - Buildings,,,60637.0,
SR20-05117753,,No Heat Complaint,20-03238556,9/22/2020 9:30 AM,9/24/2020 9:58 AM,Completed,the picture was of my body temparature taken from the temple at 10:30 pm last night. proof enough the unit is cold,DOB - Buildings,Closed,600 W MELROSE ST,60657.0,
SR20-05120601,,No Heat Complaint,20-03240468,9/22/2020 1:27 PM,9/24/2020 4:32 PM,Completed,NO HEAT.  LANDLORD REFUSES TO TURN ON HEAT--CALL BEFORE COMING OUT  SO  SHE CAN LET YOU IN,DOB - Buildings,Closed,3200 W 62ND PL,60629.0,
SR20-05124353,,No Heat Complaint,20-03242533,9/23/2020 4:46 AM,9/24/2020 4:33 PM,Completed,"This Senior lives in senior residential unit in Cottage View Terrace; continuing to 'battle' with cold air, the heat not yet turned on, management
not giving it top priority,  Caller Does not want to be ill
PLEASE PLEASE CONTACT THE CALLER, MR. HOWARD CAMPBELL, BEFORE VISIT, THAT HE WILL DEFINITELY BE AVAILABLE TO RECEIVE THE
INPECTOR,,,,Mr. Campbell is not always home during day; running necessary erands, if not visiting his doctor(s)
However, AGAIN, he will make himself available after receiving a call from a Building inspector ahead of time; knowing the date if nothing else.",DOB - Buildings,Closed,4800 S COTTAGE GROVE AVE,60615.0,
SR20-05126832,,No Heat Complaint,,9/23/2020 10:49 AM,10/1/2020 1:12 PM,Completed,The building should be condemned,DOB - Buildings,,,60612.0,
SR20-05128051,,No Heat Complaint,,9/23/2020 12:36 PM,10/1/2020 1:12 PM,Completed,,DOB - Buildings,,,60612.0,
SR20-05141575,,No Heat Complaint,20-03251960,9/25/2020 9:00 AM,10/13/2020 11:26 AM,Completed,,DOB - Buildings,Closed,600 E 40TH ST,60653.0,
SR20-05147421,,No Heat Complaint,20-03255414,9/25/2020 8:42 PM,10/6/2020 1:51 PM,Completed,,DOB - Buildings,Closed,1500 N LEAMINGTON AVE,60651.0,
SR20-05150256,,No Heat Complaint,,9/26/2020 1:13 PM,9/30/2020 12:08 PM,Completed,I called several times in regards to my heat. My kids are sick because its cold in my unit.,DOB - Buildings,,,60645.0,
SR20-05154002,,No Heat Complaint,20-03257389,9/27/2020 10:10 AM,10/13/2020 10:18 AM,Completed,Please call prior with date and time for access,DOB - Buildings,Closed,7500 S EVANS AVE,60619.0,
SR20-05158025,,No Heat Complaint,,9/28/2020 4:13 AM,10/13/2020 10:18 AM,Completed,"Emphasis, PLEASE Call In ADvance, Ms. Brothers will make sure she is available (and not at work or else where) for Inspector; because she IS
ANxious and wants to be home to let Inspector in to cold unit!  
land lord/office has NOT responded to her 'cry' for help!",DOB - Buildings,,,60619.0,
SR20-05158468,,No Heat Complaint,,9/28/2020 7:36 AM,10/1/2020 1:12 PM,Completed,,DOB - Buildings,,,60612.0,
SR20-05158600,,No Heat Complaint,20-03258965,9/28/2020 7:57 AM,10/13/2020 12:42 PM,Completed,,DOB - Buildings,Closed,7600 S PHILLIPS AVE,60649.0,
SR20-05158875,,No Heat Complaint,20-03259149,9/28/2020 8:44 AM,10/6/2020 1:51 PM,Completed,,DOB - Buildings,Closed,4800 N CLAREMONT AVE,60625.0,
SR20-05160669,,No Heat Complaint,20-03260299,9/28/2020 11:22 AM,10/6/2020 1:51 PM,Completed,,DOB - Buildings,Closed,1000 N LA SALLE DR,60610.0,
SR20-05161007,,No Heat Complaint,20-03260534,9/28/2020 11:51 AM,9/29/2020 10:21 AM,Completed,,DOB - Buildings,Closed,6100 N FRANCISCO AVE,60659.0,
SR20-05163966,,No Heat Complaint,,9/28/2020 3:49 PM,9/28/2020 10:13 PM,Completed,,DOB - Buildings,,,60611.0,
SR20-05165357,,No Heat Complaint,20-03263098,9/28/2020 8:15 PM,10/6/2020 1:51 PM,Completed,,DOB - Buildings,Closed,5300 N WINTHROP AVE,60640.0,
