Service Request Number,Service Request: Type Name,Work Order Number,Date/Time Opened,Date/Time Closed,Service Request Status,Service Request: Description,Department,Work Order Status,Street Block,Zip Code,_key,_address,_latitude,_longitude,_count
SR20-05069003,No Heat Complaint,20-03212607,9/15/2020 2:41 PM,9/25/2020 2:50 PM,Completed,"There was no HEAT last winter. I did not know when I sign month to month lease. However he said he would  provide heating before the next year, that this winter year. As of today, there is no heat 2nd floor, inadqueate heat 1st floor",DOB - Buildings,Closed,5900 S Laflin St,60636,5900 S Laflin St-60636,"5900 S Laflin St, Chicago, IL 60636, USA",41.7867866,-87.6619802,1
SR20-05069127,No Heat Complaint,20-03212710,9/15/2020 2:46 PM,9/17/2020 9:29 AM,Completed,CALLER STATES THE GAS IS TURNED OFF AND CAPPED DUE TO HIGH BILL AT 1301 W 111TH ST,DOB - Buildings,Closed,11100 S Throop St,60643,11100 S Throop St-60643,"11100 S Throop St, Chicago, IL 60643, USA",41.6922091,-87.6545483,1
SR20-05071076,No Heat Complaint,20-03213981,9/15/2020 6:24 PM,9/17/2020 7:53 AM,Completed,"Both adults are permanently disabled. Yesterday morning, son’s bedroom was 58 degrees, daughter room was 68 degrees and master was 73 degrees using laser thermometer-with no heat on at all at 7am. Weather outside was 52 degrees. This will only get worse.",DOB - Buildings,Closed,600 E 40Th St,60653,600 E 40Th St-60653,"600 E 40th St, Chicago, IL 60653, USA",41.8216061,-87.6118274,2
SR20-05090767,No Heat Complaint,20-03225033,9/18/2020 2:39 AM,10/6/2020 12:40 PM,Completed,,DOB - Buildings,Closed,700 E 43Rd St,60653,700 E 43Rd St-60653,"700 E 43rd St, Chicago, IL 60653, USA",41.81698,-87.609028,1
SR20-05090867,No Heat Complaint,20-03225083,9/18/2020 6:04 AM,9/29/2020 1:59 PM,Completed,,DOB - Buildings,Closed,6100 S Drexel Ave,60637,6100 S Drexel Ave-60637,"6100 S Drexel Ave, Chicago, IL 60637, USA",41.7840731,-87.6043863,2
SR20-05091015,No Heat Complaint,20-03225192,9/18/2020 6:50 AM,9/30/2020 1:40 PM,Completed,,DOB - Buildings,Closed,9100 S South Chicago Ave,60617,9100 S South Chicago Ave-60617,"9100 S South Chicago Ave, Chicago, IL 60617, USA",41.72983970000001,-87.5557974,5
SR20-05092469,No Heat Complaint,20-03240322,9/18/2020 9:56 AM,9/22/2020 1:09 PM,Completed,NO DOORBELLS------CALL BEFORE COMING OUT,DOB - Buildings,Closed,6600 S Marshfield Ave,60636,6600 S Marshfield Ave-60636,"6600 S Marshfield Ave, Chicago, IL 60636, USA",41.7738562,-87.66557730000001,2
SR20-05093342,No Heat Complaint,20-03226534,9/18/2020 11:12 AM,9/28/2020 10:13 PM,Completed,,DOB - Buildings,Closed,300 E Ontario St,60611,300 E Ontario St-60611,"300 E Ontario St, Chicago, IL 60611, USA",41.8936554,-87.6199003,2
SR20-05093448,No Heat Complaint,20-03226603,9/18/2020 11:23 AM,9/22/2020 2:23 PM,Completed,,DOB - Buildings,Closed,3000 N Parkside Ave,60634,3000 N Parkside Ave-60634,"3000 N Parkside Ave, Chicago, IL 60634, USA",41.9349161,-87.7675708,2
SR20-05097405,No Heat Complaint,20-03229089,9/18/2020 5:30 PM,9/22/2020 1:09 PM,Completed,,DOB - Buildings,Closed,6400 S Dr Martin Luther King Jr Dr,60637,6400 S Dr Martin Luther King Jr Dr-60637,"6400 S Martin Luther King Dr, Chicago, IL 60637, USA",41.776432,-87.61582899999999,4
SR20-05097606,No Heat Complaint,20-03229207,9/18/2020 6:13 PM,9/22/2020 1:09 PM,Completed,,DOB - Buildings,Closed,4100 S Langley Ave,60653,4100 S Langley Ave-60653,"4100 S Langley Ave, Chicago, IL 60653, USA",41.8203188,-87.6094784,1
SR20-05097849,No Heat Complaint,20-03229327,9/18/2020 7:13 PM,9/22/2020 1:09 PM,Completed,,DOB - Buildings,Closed,6900 S Clyde Ave,60649,6900 S Clyde Ave-60649,"6900 S Clyde Ave, Chicago, IL 60649, USA",41.7696683,-87.5742839,7
SR20-05098916,No Heat Complaint,20-03229692,9/19/2020 7:08 AM,9/22/2020 1:09 PM,Completed,,DOB - Buildings,Closed,5800 S Dorchester Ave,60637,5800 S Dorchester Ave-60637,"5800 S Dorchester Ave, Chicago, IL 60637, USA",41.7894273,-87.59154939999999,1
SR20-05099150,No Heat Complaint,20-03229770,9/19/2020 8:15 AM,9/24/2020 10:42 AM,Completed,,DOB - Buildings,Closed,7100 N Washtenaw Ave,60645,7100 N Washtenaw Ave-60645,"7100 N Washtenaw Ave, Chicago, IL 60645, USA",42.01051349999999,-87.69766949999999,3
SR20-05099304,No Heat Complaint,20-03229832,9/19/2020 8:58 AM,9/28/2020 10:13 PM,Completed,I am a senior and I am concerned about retaliation.,DOB - Buildings,Closed,0 E Chestnut St,60611,0 E Chestnut St-60611,"50 E Chestnut St, Chicago, IL 60611, USA",41.8985897,-87.6261037,5
SR20-05099592,No Heat Complaint,20-03229925,9/19/2020 9:53 AM,9/24/2020 11:03 AM,Completed,STELLA MANAGEMENT NOT FIXING IT AND NO ONE HAS ANY INFORMATION ABOUT IT,DOB - Buildings,Closed,6100 N Damen Ave,60659,6100 N Damen Ave-60659,"6100 N Damen Ave, Chicago, IL 60659, USA",41.992188,-87.68023099999999,5
SR20-05100269,No Heat Complaint,20-03230152,9/19/2020 11:46 AM,10/1/2020 1:12 PM,Completed,Mold/Mildew,DOB - Buildings,Closed,2900 W Wilcox St,60612,2900 W Wilcox St-60612,"2900 W Wilcox St, Chicago, IL 60612, USA",41.87944299999999,-87.6988329,4
SR20-05102462,No Heat Complaint,20-03230820,9/19/2020 7:29 PM,9/28/2020 10:13 PM,Completed,,DOB - Buildings,Closed,0 W Burton Pl,60610,0 W Burton Pl-60610,"1447 N Wells St, Chicago, IL 60610, USA",41.9090333,-87.6342977,1
SR20-05102756,No Heat Complaint,20-03230900,9/19/2020 8:40 PM,9/24/2020 9:58 AM,Completed,,DOB - Buildings,Closed,2900 W Belle Plaine Ave,60618,2900 W Belle Plaine Ave-60618,"2900 W Belle Plaine Ave, Chicago, IL 60618, USA",41.9557847,-87.7007354,1
